time,name,score,cumul,firstDiff,Cumul – firstDiff,accept,diff cumul significant,real,above and ok,bellow score thsld and full ok,above score thsld and nok,,,,threshold,green,orange,red,,
1567152963710,square,"0,928712757582706","22,0200903061632","5,72678650571418","16,293303800449",ok,FAUX,square,FAUX,VRAI,FAUX,,,,,,,,,
1567152965121,rectangle,"0,896528936602813","20,013871525109","19,2302118151635","0,783659709945582",nok,VRAI,square,FAUX,FAUX,FAUX,,,,,,,,,
1567152966607,square,"0,876894213702813","2,60570818065058","1,04930169478007","1,55640648587051",nok,VRAI,square,FAUX,FAUX,FAUX,,,,,,,,,
1567152968295,rectangle,"0,8874258091137","2,40984747005806","2,26131210436573","0,148535365692336",nok,VRAI,square,FAUX,FAUX,FAUX,,,,,,,,,
1567152969727,circle,"0,950001120002955","25,9036579115978","12,9824160184594","12,9212418931384",yna,VRAI,circle,VRAI,FAUX,FAUX,,,,,,,,,
1567152971360,circle,"0,96580400351775","27,5633663866858","20,1320660372846","7,43130034940111",ok,VRAI,circle,VRAI,FAUX,FAUX,,,,,,,,,
1567152972645,circle,"0,869041744564889","20,6439844180986","2,87395364824387","17,7700307698547",nok,FAUX,circle,FAUX,FAUX,FAUX,,,,,,,,,
1567152973935,circle,"0,887114179942972","5,29941791675066","2,97862677250462","2,32079114424604",nok,VRAI,circle,FAUX,FAUX,FAUX,,,,,,,,,
1567152975131,rectangle,"0,722889062201501","8,73055651013991","7,91132740372633","0,81922910641358",nok,VRAI,circle,FAUX,FAUX,FAUX,,,,,,,,,
1567152976306,line,"0,52724763257228","35,4375742131515","34,7380839729592","0,699490240192276",nok,VRAI,circle,FAUX,FAUX,FAUX,,,,,,,,,
1567152977415,circle,"0,909583666086692","17,5225602446369","11,0169956311741","6,50556461346271",nok,VRAI,circle,FAUX,FAUX,FAUX,,,,,,,,,
1567152978387,circle,"0,936999379714078","18,375910712207","13,5926107082792","4,78330000392776",nok,VRAI,circle,FAUX,FAUX,VRAI,,,,,,,,,
1567152979640,circle,"0,92113076867574","21,5175957617949","12,3212909466184","9,19630481517649",nok,VRAI,circle,FAUX,FAUX,FAUX,,,,,,,,,
1567152981032,square,"0,953336623383717","28,3537308692957","10,9692307215822","17,3845001477135",ok,VRAI,square,VRAI,FAUX,FAUX,,,,,,,,,
1567152982110,square,"0,942267998989008","19,7981384661966","5,27516610671354","14,522972359483",yna,FAUX,square,VRAI,FAUX,FAUX,,,,,,,,,
1567152982923,circle,"0,919880167477538","21,9279548115421","13,0412849038793","8,88666990766288",nok,VRAI,circle,FAUX,FAUX,FAUX,,,,,,,,,
1567152983948,circle,"0,940877372050075","21,3662868517396","16,4963367380995","4,86995011364014",ok,VRAI,circle,VRAI,FAUX,FAUX,,,,,,,,,
1567152985148,circle,"0,900446592783052","9,08653905469989","8,93174612418252","0,154792930517377",nok,VRAI,circle,FAUX,FAUX,FAUX,,,,,,,,,
1567152988511,circle,"0,947194953734058","23,4318542946779","15,3960622225788","8,03579207209907",nok,VRAI,circle,FAUX,FAUX,VRAI,,,,,,,,,
1567152989627,circle,"0,921521719777592","15,5188165476464","11,9660266604965","3,5527898871499",nok,VRAI,circle,FAUX,FAUX,FAUX,,,,,,,,,
1567152990872,square,"0,907881320561219","20,921939546486","2,39784188428233","18,5240976622037",yna,FAUX,square,FAUX,FAUX,FAUX,,,,,,,,,
1567152993328,square,"0,938022970999567","23,828177019772","9,33715283739997","14,491024182372",nok,VRAI,square,FAUX,FAUX,VRAI,,,,,,,,,
1567152994663,square,"0,917891479709166","12,4679727909505","7,49771872218986","4,97025406876067",nok,VRAI,square,FAUX,FAUX,FAUX,,,,,,,,,
1567152997404,square,"0,923744321349314","13,4685855608044","5,9954158755058","7,47316968529856",nok,VRAI,square,FAUX,FAUX,FAUX,,,,,,,,,
1567152998331,circle,"0,917334971895919","24,3024365004562","6,52905243283685","17,7733840676193",nok,FAUX,circle,FAUX,FAUX,FAUX,,,,,,,,,
1567152999278,circle,"0,872588666571652","25,1943015762929","8,24518555098797","16,9491160253049",nok,FAUX,circle,FAUX,FAUX,FAUX,,,,,,,,,
1567153000664,circle,"0,848798971834143","11,8996715540297","4,00499989337865","7,89467166065108",nok,VRAI,circle,FAUX,FAUX,FAUX,,,,,,,,,
1567153001612,circle,"0,848499242088889","15,3577080841084","5,65395269560245","9,70375538850595",nok,VRAI,circle,FAUX,FAUX,FAUX,,,,,,,,,
1567153002533,circle,"0,876051192360968","7,97928758818546","4,14738417256549","3,83190341561997",nok,VRAI,circle,FAUX,FAUX,FAUX,,,,,,,,,
1567153003812,square,"0,85027365226447","5,88487188470186","1,87983274080916","4,0050391438927",nok,FAUX,circle,FAUX,FAUX,FAUX,,,,,,,,,
1567153005029,circle,"0,967692314604643","30,3253709109552","15,8551690083557","14,4702019025995",ok,VRAI,circle,VRAI,FAUX,FAUX,,,,,,,,,
1567153006422,circle,"0,947023594553321","26,207845391681","16,417945796754","9,78989959492708",yna,VRAI,circle,VRAI,FAUX,FAUX,,,,,,,,,
1567153007833,circle,"0,951736552201893","30,142117420873","16,7740742740417","13,3680431468313",ok,VRAI,circle,VRAI,FAUX,FAUX,,,,,,,,,
1567153009054,circle,"0,886373070478595","15,3630036559456","7,87227163317564","7,49073202277",nok,VRAI,circle,FAUX,FAUX,FAUX,,,,,,,,,
1567153010141,circle,"0,897638762153023","19,9267021275001","6,72581509502456","13,2008870324756",nok,VRAI,circle,FAUX,FAUX,FAUX,,,,,,,,,
1567153011313,circle,"0,935149223786097","24,0107389663125","12,859077977912","11,1516609884005",nok,VRAI,circle,FAUX,FAUX,VRAI,,,,,,,,,
1567153014771,circle,"0,917328598577493","13,5411825630286","10,3397795921919","3,20140297083668",nok,VRAI,circle,FAUX,FAUX,FAUX,,,,,,,,,
